student_index,predicted_category,confidence,risk_level,intervention_priority,top_recommendation
327,Medium,0.8742116780967913,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
328,Low,0.7387246878474331,Critical,HIGH,Schedule one-on-one academic counseling within one week.
329,High,0.8466414175413551,Low,LOW,Maintain current support level; recognize positive performance.
330,Low,0.785986913179375,Critical,HIGH,Schedule one-on-one academic counseling within one week.
331,High,0.7409540977446487,Low,LOW,Maintain current support level; recognize positive performance.
332,Low,0.8977081151329347,Critical,HIGH,Schedule one-on-one academic counseling within one week.
333,Low,0.8505592038907461,Critical,HIGH,Schedule one-on-one academic counseling within one week.
334,Low,0.5970954396741127,Critical,HIGH,Schedule one-on-one academic counseling within one week.
335,High,0.7715184541812329,Low,LOW,Maintain current support level; recognize positive performance.
336,Medium,0.7150139476540504,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
337,Low,0.8886300281838309,Critical,HIGH,Schedule one-on-one academic counseling within one week.
338,High,0.9130788788064613,Low,LOW,Maintain current support level; recognize positive performance.
339,Medium,0.6287569449999393,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
340,Medium,0.752990861660333,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
341,Medium,0.6353411450316746,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
342,High,0.8982682104075889,Low,LOW,Maintain current support level; recognize positive performance.
343,Low,0.8162236652716192,Critical,HIGH,Schedule one-on-one academic counseling within one week.
344,Medium,0.7155039843815361,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
345,High,0.6847264250668077,Low,LOW,Maintain current support level; recognize positive performance.
346,High,0.8379296387036463,Low,LOW,Maintain current support level; recognize positive performance.
347,Low,0.6399781846445474,Critical,HIGH,Schedule one-on-one academic counseling within one week.
348,High,0.8789681484481556,Low,LOW,Maintain current support level; recognize positive performance.
349,Medium,0.6660724985740135,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
350,Low,0.8289712511238672,Critical,HIGH,Schedule one-on-one academic counseling within one week.
351,Medium,0.7814840840715989,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
352,Low,0.8232825062827448,Critical,HIGH,Schedule one-on-one academic counseling within one week.
353,Low,0.8483651095477687,Critical,HIGH,Schedule one-on-one academic counseling within one week.
354,Medium,0.6768429688219949,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
355,Low,0.532558354255691,Critical,HIGH,Schedule one-on-one academic counseling within one week.
356,Medium,0.7218115889108252,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
357,Medium,0.8106302644014804,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
358,Medium,0.7083847021850491,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
359,High,0.9030433273667614,Low,LOW,Maintain current support level; recognize positive performance.
360,Medium,0.6592000771923539,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
361,Medium,0.6479724823786402,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
362,Medium,0.6906366918860225,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
363,High,0.9010301816487535,Low,LOW,Maintain current support level; recognize positive performance.
364,Medium,0.8320031856941792,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
365,Medium,0.7188277094298156,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
366,Medium,0.639733896086404,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
367,Low,0.8938767547576854,Critical,HIGH,Schedule one-on-one academic counseling within one week.
368,Medium,0.7563355536642482,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
369,Medium,0.6562809121158223,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
370,Low,0.7665331892442724,Critical,HIGH,Schedule one-on-one academic counseling within one week.
371,Medium,0.7933748757508048,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
372,Medium,0.7696307086188147,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
373,Low,0.8369632570987149,Critical,HIGH,Schedule one-on-one academic counseling within one week.
374,High,0.9301777724093896,Low,LOW,Maintain current support level; recognize positive performance.
375,Low,0.5262048844152184,Critical,HIGH,Schedule one-on-one academic counseling within one week.
376,High,0.805898323911736,Low,LOW,Maintain current support level; recognize positive performance.
377,Medium,0.5099373582650774,Critical,MEDIUM,Monitor weekly quiz scores and attendance trends.
378,High,0.8740031256355669,Low,LOW,Maintain current support level; recognize positive performance.
379,Medium,0.6966030647443588,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
380,High,0.8673396669142031,Low,LOW,Maintain current support level; recognize positive performance.
381,Low,0.9292929191707354,Critical,HIGH,Schedule one-on-one academic counseling within one week.
382,Medium,0.742374744225095,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
383,Low,0.9111843897515538,Critical,HIGH,Schedule one-on-one academic counseling within one week.
384,Low,0.8313212273517385,Critical,HIGH,Schedule one-on-one academic counseling within one week.
385,Medium,0.5315320845326731,Critical,MEDIUM,Monitor weekly quiz scores and attendance trends.
386,Low,0.7910879416789137,Critical,HIGH,Schedule one-on-one academic counseling within one week.
387,Low,0.8430241702155229,Critical,HIGH,Schedule one-on-one academic counseling within one week.
388,Low,0.8037611987204837,Critical,HIGH,Schedule one-on-one academic counseling within one week.
389,Low,0.8970469730485562,Critical,HIGH,Schedule one-on-one academic counseling within one week.
390,Low,0.5992251092337629,Critical,HIGH,Schedule one-on-one academic counseling within one week.
391,High,0.6679842406130438,Low,LOW,Maintain current support level; recognize positive performance.
392,Low,0.7590618188678303,Critical,HIGH,Schedule one-on-one academic counseling within one week.
393,Medium,0.8144855306889583,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
394,Low,0.8108567842765546,Critical,HIGH,Schedule one-on-one academic counseling within one week.
395,Medium,0.6416950514861298,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
396,Medium,0.8096828535764489,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
397,Medium,0.6707968772831628,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
398,High,0.9410833825276529,Low,LOW,Maintain current support level; recognize positive performance.
399,Medium,0.7719266145260254,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
400,Medium,0.8024262652815094,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
401,Medium,0.9020466132391621,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
402,Medium,0.7525667924251666,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
403,High,0.9579659272507013,Low,LOW,Maintain current support level; recognize positive performance.
404,Medium,0.7968053535146091,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
405,High,0.9420339585121966,Low,LOW,Maintain current support level; recognize positive performance.
406,Medium,0.7200892280942984,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
407,Medium,0.7135266358469968,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
408,Medium,0.8691508383292457,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
409,High,0.8093387873610466,Low,LOW,Maintain current support level; recognize positive performance.
410,High,0.9579193190981704,Low,LOW,Maintain current support level; recognize positive performance.
411,High,0.5030895098442405,Low,LOW,Maintain current support level; recognize positive performance.
412,Medium,0.5142704258680357,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
413,Low,0.7435652289568158,Critical,HIGH,Schedule one-on-one academic counseling within one week.
414,Medium,0.7611715574476179,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
415,High,0.7099397978854917,Low,LOW,Maintain current support level; recognize positive performance.
416,Medium,0.790115538480644,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
417,High,0.6208791243415628,Low,LOW,Maintain current support level; recognize positive performance.
418,Medium,0.8575731397236901,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
419,Medium,0.9250815468832506,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
420,Medium,0.7958581590264076,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
421,Medium,0.8608157338829439,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
422,Medium,0.7447036394063928,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
423,Medium,0.8775430044886743,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
424,Medium,0.8202099032666449,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
425,Medium,0.7807743180792024,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
426,High,0.9715617933159773,Low,LOW,Maintain current support level; recognize positive performance.
427,High,0.753967558866492,Low,LOW,Maintain current support level; recognize positive performance.
428,Medium,0.7535349165698486,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
429,Medium,0.8664364232339924,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
430,Medium,0.8258062142604244,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
431,High,0.9631450425440283,Low,LOW,Maintain current support level; recognize positive performance.
432,Medium,0.5261797449075385,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
433,Medium,0.8969807991322399,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
434,Medium,0.6905847974504772,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
435,Medium,0.8875979657637545,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
436,Medium,0.8386634559274824,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
437,High,0.9798822618512488,Low,LOW,Maintain current support level; recognize positive performance.
438,Medium,0.8003872876014959,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
439,Medium,0.6261358387881292,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
440,Medium,0.8242976253480441,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
441,Medium,0.8344014824085499,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
442,High,0.9634388265140507,Low,LOW,Maintain current support level; recognize positive performance.
443,Medium,0.865543791022731,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
444,Medium,0.7808436651322757,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
445,Medium,0.5649539828097668,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
446,High,0.9581892894133714,Low,LOW,Maintain current support level; recognize positive performance.
447,Low,0.5609870649127173,Critical,HIGH,Schedule one-on-one academic counseling within one week.
448,Medium,0.8554918360692806,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
449,Medium,0.7310304542935916,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
450,Medium,0.6279516617459582,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
451,High,0.9682126595541644,Low,LOW,Maintain current support level; recognize positive performance.
452,High,0.9165795921020187,Low,LOW,Maintain current support level; recognize positive performance.
453,High,0.5415908846524632,Low,LOW,Maintain current support level; recognize positive performance.
454,High,0.9373147710637895,Low,LOW,Maintain current support level; recognize positive performance.
455,High,0.8840302195609288,Low,LOW,Maintain current support level; recognize positive performance.
456,Medium,0.43838867192891845,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
457,Medium,0.7123160798190361,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
458,Medium,0.5535265099651825,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
459,Medium,0.8576805422812801,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
460,High,0.9202195621683774,Low,LOW,Maintain current support level; recognize positive performance.
461,Medium,0.8420285265310585,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
462,Medium,0.7650802070856824,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
463,Medium,0.9073878626797484,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
464,High,0.8762621785660051,Low,LOW,Maintain current support level; recognize positive performance.
465,Medium,0.7800929622612207,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
466,Medium,0.8390999866356141,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
467,Medium,0.8732389890388732,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
468,High,0.6667689724645782,Low,LOW,Maintain current support level; recognize positive performance.
469,Medium,0.9005629952424394,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
470,Medium,0.8876842415178227,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
471,Medium,0.8125271933061876,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
472,Medium,0.5587715867161773,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
473,Medium,0.7827068854118184,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
474,Medium,0.8511136133508826,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
475,Medium,0.8479173682826481,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
476,Low,0.5715728854932209,Critical,HIGH,Schedule one-on-one academic counseling within one week.
477,Medium,0.8063628205172928,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
478,Medium,0.8666694582409229,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
479,Medium,0.7249130141825808,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
480,Medium,0.733495058374155,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
481,Medium,0.8447305174354546,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
482,High,0.9629206816416653,Low,LOW,Maintain current support level; recognize positive performance.
483,Medium,0.8379336466416503,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
484,Medium,0.5918134322189943,Critical,MEDIUM,Monitor weekly quiz scores and attendance trends.
485,Medium,0.8040800809949551,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
486,High,0.5002901254503304,Low,LOW,Maintain current support level; recognize positive performance.
487,Medium,0.6797870741268432,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
488,High,0.8749527748392316,Low,LOW,Maintain current support level; recognize positive performance.
489,Medium,0.8338678280244588,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
490,Medium,0.7987965151328702,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
491,Medium,0.7493566958846398,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
492,Medium,0.838517724188946,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
493,High,0.49122146601162264,Low,LOW,Maintain current support level; recognize positive performance.
494,Medium,0.75538077335217,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
495,Low,0.6814065766914987,Critical,HIGH,Schedule one-on-one academic counseling within one week.
496,High,0.9754488824009161,Low,LOW,Maintain current support level; recognize positive performance.
497,Medium,0.7415131587306902,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
498,Medium,0.8951413033958763,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
499,High,0.948776461400215,Low,LOW,Maintain current support level; recognize positive performance.
500,Medium,0.8314493200674415,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
501,Medium,0.9031436007172822,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
502,High,0.8044018633402383,Low,LOW,Maintain current support level; recognize positive performance.
503,Medium,0.8408291671328695,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
504,High,0.9464081004299169,Low,LOW,Maintain current support level; recognize positive performance.
505,High,0.8078953223922473,Low,LOW,Maintain current support level; recognize positive performance.
506,Medium,0.9144061972302654,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
507,Medium,0.7570866136309207,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
508,High,0.8970631376961546,Low,LOW,Maintain current support level; recognize positive performance.
509,Medium,0.6084654258418405,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
510,High,0.9615935857606162,Low,LOW,Maintain current support level; recognize positive performance.
511,High,0.8872302643631836,Low,LOW,Maintain current support level; recognize positive performance.
512,High,0.775291320606106,Low,LOW,Maintain current support level; recognize positive performance.
513,Medium,0.91138304633492,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
514,High,0.6726274787055295,Low,LOW,Maintain current support level; recognize positive performance.
515,High,0.9083524325020259,Low,LOW,Maintain current support level; recognize positive performance.
516,Medium,0.5260437670761735,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
517,Medium,0.6824635726534308,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
518,Medium,0.749017926840548,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
519,Medium,0.82877340376551,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
520,Medium,0.48371720349427255,Critical,MEDIUM,Monitor weekly quiz scores and attendance trends.
521,Medium,0.8706358676680884,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
522,Medium,0.7502416032940531,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
523,High,0.9185574377078002,Low,LOW,Maintain current support level; recognize positive performance.
524,Medium,0.7929550908482196,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
525,Medium,0.6849552455021006,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
526,Medium,0.5723362902455128,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
527,Medium,0.8546768255792329,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
528,Medium,0.8624835886755632,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
529,Medium,0.79345678836264,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
530,High,0.6828641556761679,Low,LOW,Maintain current support level; recognize positive performance.
531,Medium,0.7480067211579821,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
532,Medium,0.8709538892843017,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
533,Medium,0.7766735182606798,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
534,High,0.8316199102386994,Low,LOW,Maintain current support level; recognize positive performance.
535,Medium,0.7100778969265028,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
536,Medium,0.689534390567641,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
537,Medium,0.8755081524444914,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
538,Medium,0.8140573381115572,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
539,Medium,0.8484907016970636,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
540,Medium,0.5712438637208149,Critical,MEDIUM,Monitor weekly quiz scores and attendance trends.
541,Medium,0.8287115888747255,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
542,High,0.8859304451452057,Low,LOW,Maintain current support level; recognize positive performance.
543,Low,0.7096680411410519,Critical,HIGH,Schedule one-on-one academic counseling within one week.
544,Medium,0.8032138706600525,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
545,Low,0.765515852893606,Critical,HIGH,Schedule one-on-one academic counseling within one week.
546,High,0.6140997552556591,Low,LOW,Maintain current support level; recognize positive performance.
547,Medium,0.8955273697804018,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
548,Medium,0.6006735840820351,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
549,Medium,0.7918541196902443,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
550,Low,0.7827591464453202,Critical,HIGH,Schedule one-on-one academic counseling within one week.
551,Medium,0.8615198933162553,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
552,Medium,0.7615010753175199,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
553,Medium,0.8360992423782188,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
554,Medium,0.8458019399713812,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
555,Medium,0.812847221068847,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
556,Low,0.7567405607105031,Critical,HIGH,Schedule one-on-one academic counseling within one week.
557,Medium,0.799145409955236,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
558,Low,0.5724368342718883,Critical,HIGH,Schedule one-on-one academic counseling within one week.
559,Medium,0.7183272672916158,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
560,Medium,0.63183309536607,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
561,Medium,0.7576779965612558,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
562,Medium,0.7354111606651823,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
563,Low,0.7286803779208403,Critical,HIGH,Schedule one-on-one academic counseling within one week.
564,Medium,0.6022701509787302,Critical,MEDIUM,Monitor weekly quiz scores and attendance trends.
565,Medium,0.8873473788502464,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
566,Medium,0.8654380213139846,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
567,Low,0.48387623565233107,Critical,HIGH,Schedule one-on-one academic counseling within one week.
568,Medium,0.6290027054705013,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
569,Low,0.8186252523386882,Critical,HIGH,Schedule one-on-one academic counseling within one week.
570,Low,0.5659874826720224,Critical,HIGH,Schedule one-on-one academic counseling within one week.
571,Low,0.4828345994700791,Critical,HIGH,Schedule one-on-one academic counseling within one week.
572,Low,0.7087822917048517,Critical,HIGH,Schedule one-on-one academic counseling within one week.
573,Low,0.644947178693894,Critical,HIGH,Schedule one-on-one academic counseling within one week.
574,Low,0.5865545567282529,Critical,HIGH,Schedule one-on-one academic counseling within one week.
575,Medium,0.7489910315551397,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
576,High,0.939467286774435,Low,LOW,Maintain current support level; recognize positive performance.
577,Medium,0.8361552812841353,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
578,High,0.9530402258766165,Low,LOW,Maintain current support level; recognize positive performance.
579,Medium,0.7006474070516127,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
580,High,0.9111409097905013,Low,LOW,Maintain current support level; recognize positive performance.
581,Medium,0.7799424890710955,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
582,Medium,0.6225930932149482,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
583,High,0.9412941150591236,Low,LOW,Maintain current support level; recognize positive performance.
584,Medium,0.8559967897008356,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
585,Medium,0.5057708004908951,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
586,Medium,0.7720164533169236,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
587,Medium,0.6970412409156047,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
588,Medium,0.8095487777486008,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
589,Medium,0.8761837728566987,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
590,Medium,0.8221136355430109,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
591,High,0.9402771540011138,Low,LOW,Maintain current support level; recognize positive performance.
592,High,0.7181593097718932,Low,LOW,Maintain current support level; recognize positive performance.
593,High,0.9159778472037524,Low,LOW,Maintain current support level; recognize positive performance.
594,Medium,0.6213266189392445,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
595,Medium,0.7763672880795811,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
596,High,0.7691920898118266,Low,LOW,Maintain current support level; recognize positive performance.
597,Medium,0.5521681957839091,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
598,Medium,0.7133082491132804,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
599,Medium,0.7768588188710394,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
600,Medium,0.8042680413858626,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
601,Medium,0.8301172965926099,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
602,Medium,0.8978904364160399,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
603,Medium,0.8586807184197893,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
604,High,0.9127233671272544,Low,LOW,Maintain current support level; recognize positive performance.
605,High,0.6908823056413066,Low,LOW,Maintain current support level; recognize positive performance.
606,Medium,0.8897010970779172,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
607,High,0.8808437535675793,Low,LOW,Maintain current support level; recognize positive performance.
608,Medium,0.8079746458320067,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
609,High,0.9369161329028884,Low,LOW,Maintain current support level; recognize positive performance.
610,Medium,0.9146468141429633,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
611,High,0.8508897885298868,Low,LOW,Maintain current support level; recognize positive performance.
612,Medium,0.723716091701056,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
613,Medium,0.6840989363568214,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
614,Low,0.7563225659092222,Critical,HIGH,Schedule one-on-one academic counseling within one week.
615,Medium,0.8346385110423047,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
616,High,0.9305726251814752,Low,LOW,Maintain current support level; recognize positive performance.
617,Medium,0.8533006767622928,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
618,Medium,0.7924205269485358,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
619,Medium,0.7861988057358205,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
620,Medium,0.8385838538327306,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
621,Medium,0.8235266531795057,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
622,Medium,0.8802324708896346,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
623,Medium,0.8220601986429824,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
624,High,0.9578438853212708,Low,LOW,Maintain current support level; recognize positive performance.
625,Medium,0.6630490564252098,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
626,Medium,0.8380124535398766,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
627,Medium,0.8236119785041999,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
628,Medium,0.7780214470618556,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
629,Medium,0.8751681995903787,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
630,Medium,0.8290390882004668,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
631,High,0.5772454546086957,Low,LOW,Maintain current support level; recognize positive performance.
632,Medium,0.7112532055134823,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
633,High,0.9284408337304266,Low,LOW,Maintain current support level; recognize positive performance.
634,Low,0.7452905878467458,Critical,HIGH,Schedule one-on-one academic counseling within one week.
635,High,0.9501767129718642,Low,LOW,Maintain current support level; recognize positive performance.
636,Medium,0.8849598332907425,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
637,Medium,0.7968041208468963,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
638,High,0.8837887051495893,Low,LOW,Maintain current support level; recognize positive performance.
639,Medium,0.6578969320273473,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
640,Medium,0.7092450589011401,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
641,Medium,0.6597169453636034,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
642,Medium,0.5859150434597453,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
643,Low,0.6047453025704177,Critical,HIGH,Schedule one-on-one academic counseling within one week.
644,Medium,0.7493763245018414,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
645,High,0.8713969201986435,Low,LOW,Maintain current support level; recognize positive performance.
